NCTId,BriefTitle,DetailedDescription,Phase,Status,WhyStopped,Interventions,Conditions,Sponsor,InterventionText,is_small_molecule,WhyStopped_clean,toxicity_flag,DrugName
NCT01199731,Dose-finding Study of GSK2248761 in Antiretroviral Therapy-experienced Subjects With NNRTI-resistant HIV Infection,"Study SGN113399 is a Phase 2b randomized, partially-blinded, multicenter, parallel-group, dose-ranging study to be conducted in HIV-1 infected ART-experienced adults with documented NNRTI resistance.

A minimum of 150 subjects will be randomized 1:1:1 to one of two GSK2248761 doses or a control regimen containing ETV (50 subjects per group); all subjects will also receive darunavir/ritonavir and raltegravir. The trial will be partially blinded, i.e. subjects receiving GSK2248761 and the investigators will be blinded to the dose they receive. Subjects will not be blinded to whether they receive GSK2248761 or ETV.

Randomization will be stratified by:

* HIV-1 VL at screening, \<50,000 copies/mL or \>/50,000 copies/mL, and
* Darunavir susceptibility (screening phenotype fold change \<7 or \>/7 to 20)

Background ART will be administered open-label.

The primary endpoint analysis will take place after all subjects have completed Week 16. An optimal dose of GSK2248761 will be determined by the Week 16 analysis; this dose selection will be confirmed using an analysis from all subjects following completion of Week 24. If there is a clear efficacy, safety or tolerability advantage driving dose selection for GSK2248761, then all subjects receiving the non-selected dose of GSK2248761 will be switched to the selected dose following dose confirmation, after all subjects have completed Week 24. If no differentiation of dose can be made based on objective measures of efficacy, safety or tolerability, then both doses will be continued through Week 48.

After Week 48, all subjects will be expected to obtain local access to all commercially available ART.

No regimen switches of either background ART (DRV/r and RAL) or test agent or control (GSK2248761 and ETV) are allowed during the 48 week period of the study.

Study Endpoints/Assessments Subjects will have assessments performed which will include baseline demographics, disease characteristics, pharmacogenetics (PGx) and safety (laboratory and clinical evaluations). On study safety, efficacy, virologic, immunologic, and PK evaluations will also be conducted.

The primary endpoint will be the proportion of subjects with HIV-1 RNA \<50copies/mL at Week 16. Dose selection will be based primarily on antiviral activity and tolerability in conjunction with immunologic, safety, virologic resistance and PK measures. Data from the Week 24 analysis will be used to confirm dose selection.

ViiV Healthcare is the new sponsor of this study, and GlaxoSmithKline is in the process of updating systems to reflect the change in sponsorship",[],TERMINATED,The study was stopped due to safety concerns,"[{'type': 'DRUG', 'name': 'GSK2248761 100 mg once daily', 'description': '1 100mg capsule OAD plus matching placebo', 'armGroupLabels': ['GSK2248761 100mg OAD']}, {'type': 'DRUG', 'name': 'GSK2248761 200 mg once daily', 'description': '2 100mg capsules OAD', 'armGroupLabels': ['GSK2248761 200mg OAD']}, {'type': 'DRUG', 'name': 'Etravirine', 'description': '2 100mg tablets twice daily', 'armGroupLabels': ['Etravirine']}]","['Infection, Human Immunodeficiency Virus']",ViiV Healthcare,"[{'type': 'drug', 'name': 'gsk2248761 100 mg once daily', 'description': '1 100mg capsule oad plus matching placebo', 'armgrouplabels': ['gsk2248761 100mg oad']}, {'type': 'drug', 'name': 'gsk2248761 200 mg once daily', 'description': '2 100mg capsules oad', 'armgrouplabels': ['gsk2248761 200mg oad']}, {'type': 'drug', 'name': 'etravirine', 'description': '2 100mg tablets twice daily', 'armgrouplabels': ['etravirine']}]",True,the study was stopped due to safety concerns,True,gsk2248761 100 mg once daily
NCT04874831,Domatinostat in Combination With Avelumab in Patients With Treatment-naïve Metastatic Merkel Cell Carcinoma (MERKLIN 1),,[],WITHDRAWN,Refocusing of sponsor's clinical development program. No safety concern or change of the risk-benefit assessment of the investigational medicinal product has led to this decision.,"[{'type': 'DRUG', 'name': 'domatinostat in combination with avelumab', 'description': 'domatinostat tablets and avelumab infusion', 'armGroupLabels': ['domatinostat and avelumab']}]",['Merkel Cell Carcinoma'],4SC AG,"[{'type': 'drug', 'name': 'domatinostat in combination with avelumab', 'description': 'domatinostat tablets and avelumab infusion', 'armgrouplabels': ['domatinostat and avelumab']}]",True,refocusing of sponsor's clinical development program. no safety concern or change of the risk-benefit assessment of the investigational medicinal product has led to this decision.,True,domatinostat in combination with avelumab
NCT06102174,A Study to Learn About the Amount of the Study Medicine (Sisunatovir) in Blood and Its Safety in Infants and Children With Pneumonia Caused by RSV,,[],TERMINATED,Study discontinued due to business reasons. There were no safety concerns in the decision to stop study and no changes to sponsor's assessment of the risk-benefit profile for participants who received sisunatovir in the study,"[{'type': 'DRUG', 'name': 'Placebo', 'description': 'Placebo', 'armGroupLabels': ['Placebo']}, {'type': 'DRUG', 'name': 'Active', 'description': 'Sisunatovir', 'armGroupLabels': ['Sisunatovir'], 'otherNames': ['PF-07923568, RV521']}]",['Respiratory Syncytial Virus Infections'],Pfizer,"[{'type': 'drug', 'name': 'placebo', 'description': 'placebo', 'armgrouplabels': ['placebo']}, {'type': 'drug', 'name': 'active', 'description': 'sisunatovir', 'armgrouplabels': ['sisunatovir'], 'othernames': ['pf-07923568, rv521']}]",True,study discontinued due to business reasons. there were no safety concerns in the decision to stop study and no changes to sponsor's assessment of the risk-benefit profile for participants who received sisunatovir in the study,True,placebo
NCT04212065,Long Acting Subcutaneous vs Short Acting Sublingual Buprenorphine in Pregnant and Lactating Women,"Opioid use disorder increased among pregnant women in recent years, despite an overall decrease in the general population in the same time frame. Given the increased use of buprenorphine for opioid use disorder, it has now become the most commonly misused prescription opioid subtype. Untreated opioid use disorder is associated with worse maternal, fetal, and neonatal outcomes. To improve compliance with medication assisted therapy, decrease relapse and neonatal abstinence syndrome, we propose a randomized control trial of long acting subcutaneous buprenorphine compared to short acting sublingual buprenorphine/naloxone administration in pregnant and lactating women.",[],WITHDRAWN,closed due to new safety concerns of subcutaneous buprenorphine in pregnant patients,"[{'type': 'DRUG', 'name': 'buprenorphine', 'description': 'To improve compliance with medication assisted therapy, decrease relapse and neonatal abstinence syndrome, we propose a randomized control trial of long acting subcutaneous buprenorphine compared to short acting sublingual buprenorphine/naloxone administration in pregnant and lactating women.', 'armGroupLabels': ['Subcutaneous Sublocade', 'Sublingual Suboxone'], 'otherNames': ['Sublocade, Suboxone']}]",['Opioid Use Disorder'],Ohio State University,"[{'type': 'drug', 'name': 'buprenorphine', 'description': 'to improve compliance with medication assisted therapy, decrease relapse and neonatal abstinence syndrome, we propose a randomized control trial of long acting subcutaneous buprenorphine compared to short acting sublingual buprenorphine/naloxone administration in pregnant and lactating women.', 'armgrouplabels': ['subcutaneous sublocade', 'sublingual suboxone'], 'othernames': ['sublocade, suboxone']}]",True,closed due to new safety concerns of subcutaneous buprenorphine in pregnant patients,True,buprenorphine
NCT05631574,"Study of Covalent Menin Inhibitor BMF-219 in Adult Patients With KRAS Driven Non-Small Cell Lung Cancer, Pancreatic Cancer, and Colorectal Cancer","This is a dose finding study to determine the safety and tolerability, pharmacokinetics and pharmacodynamics, and clinical activity of escalating doses of BMF-219 administered orally (PO) either once daily (QD) or twice daily (BID) in 28-day cycles. After observing acceptable safety performance in these dosing regimens, additional subjects will be enrolled to assess efficacy in the determination of the OBD for use as a RP2D.",[],TERMINATED,"Biomea Fusion, Inc., is no longer pursuing oncology indications for BMF-219. No safety concerns or efficacy observations led to this study closure.","[{'type': 'DRUG', 'name': 'BMF-219', 'description': 'BMF-219 is an orally bioavailable, covalent small-molecule menin inhibitor.', 'armGroupLabels': ['Escalation Phase', 'Expansion Phase']}]","['Non Small Cell Lung Cancer', 'Pancreatic Cancer', 'Colorectal Cancer', 'NSCLC', 'PDAC', 'CRC', 'Relapsed Cancer', 'Refractory Cancer', 'Stage III Pancreatic Cancer', 'Stage IV Pancreatic Cancer', 'Stage III Non-small Cell Lung Cancer', 'Stage IV Non-small Cell Lung Cancer', 'Stage III Colorectal Cancer', 'Stage IV Colorectal Cancer', 'Stage III NSCLC', 'Stage IV NSCLC', 'KRAS Mutation-Related Tumors']",Biomea Fusion Inc.,"[{'type': 'drug', 'name': 'bmf-219', 'description': 'bmf-219 is an orally bioavailable, covalent small-molecule menin inhibitor.', 'armgrouplabels': ['escalation phase', 'expansion phase']}]",True,"biomea fusion, inc., is no longer pursuing oncology indications for bmf-219. no safety concerns or efficacy observations led to this study closure.",True,bmf-219
NCT01834274,Comparison of Fasiglifam (TAK-875) With Sitagliptin When Used in Combination With Metformin in Patients With Type 2 Diabetes,"The drug being tested in this study is called TAK-875. TAK-875 is being tested to treat people who have type 2 diabetes. This study will look at glycemic control in people who take TAK-875 in addition to metformin.

The study will enroll approximately 620 patients. Participants will be randomly assigned (by chance, like flipping a coin) to one of the two treatment groups-which will remain undisclosed to the patient and study doctor during the study (unless there is an urgent medical need):

* TAK-875 50 mg
* Sitagliptin 100 mg

All participants will be asked to take one tablet at the same time each day throughout the study. All participants will be asked to self-monitor their blood glucose levels and document any increases in blood glucose or symptoms of hypoglycemia in a diary.

This multi-center trial will be conducted in the United States, Latin America, Europe and Asia. The overall time to participate in this study is up to 42 weeks and participants will make up to 15 visits to the clinic.

Due to potential concerns about liver safety, on balance, the benefits of treating patients with fasiglifam (TAK-875) do not outweigh the potential risks.

For this reason, Takeda has decided voluntarily to terminate the development activities for fasiglifam.",[],TERMINATED,Due to potential concerns about liver safety (See Detailed Description),"[{'type': 'DRUG', 'name': 'Fasiglifam (TAK-875)', 'description': 'Fasiglifam (TAK-875) tablets', 'armGroupLabels': ['Fasiglifam 50 mg']}, {'type': 'DRUG', 'name': 'Fasiglifam (TAK-875) Placebo', 'description': 'Fasiglifam (TAK-875) placebo-matching tablets', 'armGroupLabels': ['Sitagliptin 100 mg']}, {'type': 'DRUG', 'name': 'Sitagliptin', 'description': 'Sitagliptin tablets', 'armGroupLabels': ['Sitagliptin 100 mg']}, {'type': 'DRUG', 'name': 'Sitagliptin Placebo', 'description': 'Sitagliptin placebo-matching tablets', 'armGroupLabels': ['Fasiglifam 50 mg']}, {'type': 'DRUG', 'name': 'Metformin', 'description': 'Metformin tablets', 'armGroupLabels': ['Fasiglifam 50 mg', 'Sitagliptin 100 mg']}]","['Diabetes Mellitus, Type 2']",Takeda,"[{'type': 'drug', 'name': 'fasiglifam (tak-875)', 'description': 'fasiglifam (tak-875) tablets', 'armgrouplabels': ['fasiglifam 50 mg']}, {'type': 'drug', 'name': 'fasiglifam (tak-875) placebo', 'description': 'fasiglifam (tak-875) placebo-matching tablets', 'armgrouplabels': ['sitagliptin 100 mg']}, {'type': 'drug', 'name': 'sitagliptin', 'description': 'sitagliptin tablets', 'armgrouplabels': ['sitagliptin 100 mg']}, {'type': 'drug', 'name': 'sitagliptin placebo', 'description': 'sitagliptin placebo-matching tablets', 'armgrouplabels': ['fasiglifam 50 mg']}, {'type': 'drug', 'name': 'metformin', 'description': 'metformin tablets', 'armgrouplabels': ['fasiglifam 50 mg', 'sitagliptin 100 mg']}]",True,due to potential concerns about liver safety (see detailed description),True,fasiglifam (tak-875)
NCT00488774,An Efficacy and Safety Study of Golimumab in Participants With Ulcerative Colitis,"This is a randomized (study medication assigned by chance), double-blind (neither the Physician nor the participant know about the study medication), placebo-controlled (an inactive substance; a pretend treatment \[with no drug in it\] that is compared in a clinical trial with a drug to test if the drug has a real effect), parallel-group (a medical research study comparing the response in 2 or more groups of participants receiving different interventions \[treatments\]) study to evaluate an appropriate intravenous (through a vein in the arm) golimumab induction dose and to demonstrate the safety and efficacy of intravenous induction dosing with golimumab in participants with moderately to severely active UC. At Week 6, participants will be asked to participate in an additional 1-year maintenance study. Participants not entering the 1-year golimumab maintenance study will be evaluated for safety at Week 16. The duration of study will be 6 weeks for participants who enter the 1-year golimumab maintenance study and 16 weeks for participant who do not enter the 1-year golimumab maintenance study.There are 2 parts in this study. Part 1 is Phase 2 ""dose-ranging"" portion of study. Participants enrolled in Part 1, will receive a single intravenous infusion of either matching placebo for golimumab or 1 milligram (mg) per kilogram(kg), 2 mg per kg or 4 mg per kg of golimumab. Part 2 of the study is called ""dose-confirming"" and newly enrolled participants will receive same doses studied in Part 1, until the doses for Part 2 are selected and Phase 3 begins. At the time that the final doses are selected, all newly enrolled participants will receive 1 of the selected doses or matching placebo; this is the start of the Phase 3 portion of the study. Participants will primarily be assessed using Mayo Score (it is a score developed for measuring disease activity). Participants' safety and quality of life will also be monitored throughout the study.",[],TERMINATED,"Protocol was cancelled by company based on overall efficacy, no safety concern","[{'type': 'OTHER', 'name': 'Placebo', 'description': 'Matching placebo for golimumab, intravenous infusion administered at Week 0', 'armGroupLabels': ['Placebo']}, {'type': 'DRUG', 'name': 'Golimumab 1 mg per kg', 'description': 'Golimumab 1 mg per kg intravenous (IV) infusion administered at Week 0', 'armGroupLabels': ['Golimumab 1 milligram (mg) per kilogram (kg)'], 'otherNames': ['CNTO 148']}, {'type': 'DRUG', 'name': 'Golimumab 2 mg per kg', 'description': 'Golimumab 2 mg per kg intravenous (IV) infusion administered at Week 0', 'armGroupLabels': ['Golimumab 2 mg per kg'], 'otherNames': ['CNTO 148']}, {'type': 'DRUG', 'name': 'Golimumab 4 mg per kg', 'description': 'Golimumab 4 mg per kg intravenous (IV) infusion at Week 0', 'armGroupLabels': ['Golimumab 4 mg per kg']}]","['Colitis, Ulcerative']","Janssen Research & Development, LLC","[{'type': 'other', 'name': 'placebo', 'description': 'matching placebo for golimumab, intravenous infusion administered at week 0', 'armgrouplabels': ['placebo']}, {'type': 'drug', 'name': 'golimumab 1 mg per kg', 'description': 'golimumab 1 mg per kg intravenous (iv) infusion administered at week 0', 'armgrouplabels': ['golimumab 1 milligram (mg) per kilogram (kg)'], 'othernames': ['cnto 148']}, {'type': 'drug', 'name': 'golimumab 2 mg per kg', 'description': 'golimumab 2 mg per kg intravenous (iv) infusion administered at week 0', 'armgrouplabels': ['golimumab 2 mg per kg'], 'othernames': ['cnto 148']}, {'type': 'drug', 'name': 'golimumab 4 mg per kg', 'description': 'golimumab 4 mg per kg intravenous (iv) infusion at week 0', 'armgrouplabels': ['golimumab 4 mg per kg']}]",True,"protocol was cancelled by company based on overall efficacy, no safety concern",True,golimumab 1 mg per kg
NCT01078974,"Pomalidomide, Dexamethasone and Rituximab in Waldenstrom's Macroglobulinemia","* Participants will be given a study drug-dosing calendar for each treatment cycle. Each treatment cycle lasts 28 days during which time participants will take Pomalidomide orally once a day. Dexamethasone and rituximab will be administered intravenously on weeks 1, 2, 3, 4 and on weeks 12, 13, 14, 15.
* Since we are looking for the highest dose of Pomalidomide in combination with dexamethasone and rituximab which can be administered safely without severe or unmanageable side effects, not everyone who participates will receive the same dose of the study drug. The dose participants will get will depend on the number of participants who have been enrolled in the study and how well they have tolerated their doses.
* As long as there is no evidence that the participant's Waldenstrom's Macroglobulinemia has progressed, they can continue to receive Pomalidomide for up to 52 weeks. Participants will be asked to return to the clinic for follow-up tests at least every three months for four years.",[],TERMINATED,Safety concerns (IgM Flare),"[{'type': 'DRUG', 'name': 'pomalidomide', 'description': 'Taken orally once a day', 'armGroupLabels': ['pomalidomide, dexamethasone, rituximab'], 'otherNames': ['CC-4047', 'Pomalyst']}, {'type': 'DRUG', 'name': 'dexamethasone', 'description': 'Given intravenously on weeks 1, 2, 3 and 4 and weeks 12, 13, 14 and 15', 'armGroupLabels': ['pomalidomide, dexamethasone, rituximab'], 'otherNames': ['Decadron']}, {'type': 'DRUG', 'name': 'rituximab', 'description': 'Given intravenously on weeks 1, 2, 3 and 4 and weeks 12, 13, 14 and 15', 'armGroupLabels': ['pomalidomide, dexamethasone, rituximab'], 'otherNames': ['Rituxan']}]","[""Waldenstrom's Macroglobulinemia""]","Steven P. Treon, MD, PhD","[{'type': 'drug', 'name': 'pomalidomide', 'description': 'taken orally once a day', 'armgrouplabels': ['pomalidomide, dexamethasone, rituximab'], 'othernames': ['cc-4047', 'pomalyst']}, {'type': 'drug', 'name': 'dexamethasone', 'description': 'given intravenously on weeks 1, 2, 3 and 4 and weeks 12, 13, 14 and 15', 'armgrouplabels': ['pomalidomide, dexamethasone, rituximab'], 'othernames': ['decadron']}, {'type': 'drug', 'name': 'rituximab', 'description': 'given intravenously on weeks 1, 2, 3 and 4 and weeks 12, 13, 14 and 15', 'armgrouplabels': ['pomalidomide, dexamethasone, rituximab'], 'othernames': ['rituxan']}]",True,safety concerns (igm flare),True,pomalidomide
NCT06079320,A Study to Learn About the Study Medicine Sisunatovir in Adults With Respiratory Syncytial Virus (RSV) Infection,,[],TERMINATED,Study discontinued due to business reasons. There were no safety concerns in the decision to stop study and no changes to sponsor's assessment of the risk-benefit profile for participants who received sisunatovir in the study.,"[{'type': 'DRUG', 'name': 'Sisunatovir', 'description': 'Participants will receive tablets from Day 1 to Day 5', 'armGroupLabels': ['Sisunatovir']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Participants will receive matching placebo tablets from Day 1 to Day 5', 'armGroupLabels': ['Placebo']}]",['Respiratory Syncytial Virus Infection'],Pfizer,"[{'type': 'drug', 'name': 'sisunatovir', 'description': 'participants will receive tablets from day 1 to day 5', 'armgrouplabels': ['sisunatovir']}, {'type': 'drug', 'name': 'placebo', 'description': 'participants will receive matching placebo tablets from day 1 to day 5', 'armgrouplabels': ['placebo']}]",True,study discontinued due to business reasons. there were no safety concerns in the decision to stop study and no changes to sponsor's assessment of the risk-benefit profile for participants who received sisunatovir in the study.,True,sisunatovir
NCT01110226,Trial Of Cisplatin And KML-001 in Platinum Responsive Malignancies,"Telomerase is the enzyme synthesizing the specific DNA sequences found at the telomeres in the body's chromosomes. It is thus responsible for maintaining the length of telomeres. Telomerase has been detected in human cancer cells and is found to be 10-20 times more active than in normal body cells. This provides a selective growth advantage to many types of tumors. If telomerase activity was to be turned off, then telomeres in cancer cells would shorten, just like they do in normal body cells. This would prevent the cancer cells from dividing uncontrollably in their early stages of development. In the event that a tumor has already thoroughly developed, it may be removed and anti-telomerase therapy could be administered to prevent relapse.

This study is being offered to patients with advanced cancer which has either no standard therapy or which has progressed after treatment with one or more standard treatments.

The primary objective of this study :

To determine the maximum tolerated dose of KML001 in combination with cisplatin in patients with advanced malignancy. This objective has been met. The study will be reopened with expansion cohorts in advanced small cell lung cancer and non-small cell lung cancer to better assess the activity of the combination, pending (Institutional Review Board (IRB) approval.

Secondary Objectives of the study:

To determine the pharmacokinetics of KML001 and cisplatin in this combination. To assess the response rate, disease-free survival and survival associated with this regimen.

To correlate indications of patient benefit (response or stable disease) with pretreatment specimens

The highest safest doses are determined by increasing the doses of cisplatin and KML001 in successive groups of patients until at least some of them have serious side effects. All patients on this study will receive the same dose of cisplatin, which is known to have antitumor effects. The doses of KML001 will be increased in successive groups of patients. It is possible that those entering the study early may receive suboptimal doses of KML001. At the end of the study we hope to determine the appropriate dose of the KML001 in combination with cisplatin, learn about its side effects and understand how the body metabolizes the drug.

Laboratory data from the University of Maryland Greenebaum Cancer Center (UMGCC) has demonstrated that the combination of KML001 and cisplatin is synergistic in lung cancer cell lines. Cisplatin is the best established agent for the treatment of lung cancer and most treatment regimens have been established with cisplatin (or its congener, carboplatin). This synergism is particularly interesting given that there is an anti-telomere effect for cisplatin.",[],TERMINATED,Toxicity was not felt to be acceptable for further development.,"[{'type': 'DRUG', 'name': 'KML-001', 'description': 'KML001 will begin given to patients first. It should be taken by mouth immediately prior to cisplatin infusion. Patients will be treated in cohorts of three beginning at 15mg. The Dose will be increased until Maximum Tolerated Dose is established.\n\nKML001 will be administered daily for 14 days of a 21 day cycle. Patients will have one week off.', 'armGroupLabels': ['Period 1: KML001 15mg plus Cisplatin 75mg/m2', 'Period 2: KML001 17.5mg plus Cisplatin 75mg/m2', 'Period 3: KML001 20mg plus Cisplatin 75mg/m2'], 'otherNames': ['sodium metaarsenite']}, {'type': 'DRUG', 'name': 'Cisplatin', 'description': 'Cisplatin will be given to all patients at a dose of 75 mg/m2 on day 1 of every 21 day cycle over 30 to 90 minutes through an intravenous infusion immediately after the first dose of KML-001', 'armGroupLabels': ['Period 1: KML001 15mg plus Cisplatin 75mg/m2', 'Period 2: KML001 17.5mg plus Cisplatin 75mg/m2', 'Period 3: KML001 20mg plus Cisplatin 75mg/m2']}]","['Non-Small Cell Lung Cancer, Small Cell Lung Cancer', 'Platinum Responsive Malignancies']","University of Maryland, Baltimore","[{'type': 'drug', 'name': 'kml-001', 'description': 'kml001 will begin given to patients first. it should be taken by mouth immediately prior to cisplatin infusion. patients will be treated in cohorts of three beginning at 15mg. the dose will be increased until maximum tolerated dose is established.\n\nkml001 will be administered daily for 14 days of a 21 day cycle. patients will have one week off.', 'armgrouplabels': ['period 1: kml001 15mg plus cisplatin 75mg/m2', 'period 2: kml001 17.5mg plus cisplatin 75mg/m2', 'period 3: kml001 20mg plus cisplatin 75mg/m2'], 'othernames': ['sodium metaarsenite']}, {'type': 'drug', 'name': 'cisplatin', 'description': 'cisplatin will be given to all patients at a dose of 75 mg/m2 on day 1 of every 21 day cycle over 30 to 90 minutes through an intravenous infusion immediately after the first dose of kml-001', 'armgrouplabels': ['period 1: kml001 15mg plus cisplatin 75mg/m2', 'period 2: kml001 17.5mg plus cisplatin 75mg/m2', 'period 3: kml001 20mg plus cisplatin 75mg/m2']}]",True,toxicity was not felt to be acceptable for further development.,True,kml-001
NCT04371926,Prophylactic Benefit of Hydroxychloroquine in COVID-19 Cases With Mild to Moderate Symptoms and in Healthcare Workers With High Exposure Risk,This study is designed to evaluate the prophylactic efficacy of HCQ in COVID-19 cases with mild to moderate symptoms and in the hospital staff engaged in attending infected patients.,[],WITHDRAWN,Concerned about the adverse effects of HCQ,"[{'type': 'DRUG', 'name': 'Hydroxychloroquine Sulfate', 'description': 'Patients will receive hydroxychloroquine sulfate 400 mg twice daily on the day of enrollment, then 200 mg twice daily for the next 4 days for a 5 day total course.\n\nStaff will receive HCQ sulfate 400mg/week for 4 weeks', 'armGroupLabels': ['HCQ arm']}]",['COVID-19'],Texas Cardiac Arrhythmia Research Foundation,"[{'type': 'drug', 'name': 'hydroxychloroquine sulfate', 'description': 'patients will receive hydroxychloroquine sulfate 400 mg twice daily on the day of enrollment, then 200 mg twice daily for the next 4 days for a 5 day total course.\n\nstaff will receive hcq sulfate 400mg/week for 4 weeks', 'armgrouplabels': ['hcq arm']}]",True,concerned about the adverse effects of hcq,True,hydroxychloroquine sulfate
NCT03026166,A Study of Rovalpituzumab Tesirine Administered in Combination With Nivolumab and With or Without Ipilimumab for Adults With Extensive-Stage Small Cell Lung Cancer,"The study planned to enroll three cohorts with approximately 30 participants in each, including a dose-limiting toxicity (DLT) evaluation phase (the first 12 weeks of any treatment) and an expansion phase. Initially, up to 12 participants were to be enrolled into Cohort 1 in order to obtain 6 evaluable participants through the DLT evaluation period of 12 weeks. Safety data were reviewed by a Safety Monitoring Committee (SMC) for each cohort during the DLT evaluation phase before the next cohort opened. Once a new cohort was opened, the previously opened cohort was permitted to continue enrolling participants for the expansion phase for a total of 30 participants per cohort.

Only two of the planned three cohorts enrolled participants in the study based on the SMC recommendation after DLTs were identified in Cohort 2.",[],TERMINATED,Enrollment was stopped after the dose-limiting toxicity (DLT) evaluation phase of Cohort 2.,"[{'type': 'DRUG', 'name': 'Ipilimumab', 'description': 'Administered by intravenous infusion', 'armGroupLabels': ['Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 1 mg/kg', 'Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 3 mg/kg'], 'otherNames': ['Yervoy®']}, {'type': 'DRUG', 'name': 'Nivolumab', 'description': 'Administered by intravenous infusion', 'armGroupLabels': ['Rovalpituzumab Tesirine and Nivolumab', 'Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 1 mg/kg', 'Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 3 mg/kg'], 'otherNames': ['Opdivo®']}, {'type': 'DRUG', 'name': 'Rovalpituzumab tesirine', 'description': 'Administered by intravenous infusion', 'armGroupLabels': ['Rovalpituzumab Tesirine and Nivolumab', 'Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 1 mg/kg', 'Rovalpituzumab Tesirine and Nivolumab + Ipilimumab 3 mg/kg'], 'otherNames': ['SC16LD6.5']}]",['Small Cell Lung Cancer'],AbbVie,"[{'type': 'drug', 'name': 'ipilimumab', 'description': 'administered by intravenous infusion', 'armgrouplabels': ['rovalpituzumab tesirine and nivolumab + ipilimumab 1 mg/kg', 'rovalpituzumab tesirine and nivolumab + ipilimumab 3 mg/kg'], 'othernames': ['yervoy®']}, {'type': 'drug', 'name': 'nivolumab', 'description': 'administered by intravenous infusion', 'armgrouplabels': ['rovalpituzumab tesirine and nivolumab', 'rovalpituzumab tesirine and nivolumab + ipilimumab 1 mg/kg', 'rovalpituzumab tesirine and nivolumab + ipilimumab 3 mg/kg'], 'othernames': ['opdivo®']}, {'type': 'drug', 'name': 'rovalpituzumab tesirine', 'description': 'administered by intravenous infusion', 'armgrouplabels': ['rovalpituzumab tesirine and nivolumab', 'rovalpituzumab tesirine and nivolumab + ipilimumab 1 mg/kg', 'rovalpituzumab tesirine and nivolumab + ipilimumab 3 mg/kg'], 'othernames': ['sc16ld6.5']}]",True,enrollment was stopped after the dose-limiting toxicity (dlt) evaluation phase of cohort 2.,True,ipilimumab
NCT02125266,Safety and Preliminary Efficacy Study of V404 PDS in Uveitis,,[],TERMINATED,Study terminated due to unacceptable frequency of drug related adverse events,"[{'type': 'DRUG', 'name': 'V404', 'description': 'Sustained Release', 'armGroupLabels': ['High Dose V404 PDS', 'Low Dose V404 PDS'], 'otherNames': ['Methotrexate']}]","['Uveitis, Posterior', 'Uveitis, Intermediate']",Forsight Vision4,"[{'type': 'drug', 'name': 'v404', 'description': 'sustained release', 'armgrouplabels': ['high dose v404 pds', 'low dose v404 pds'], 'othernames': ['methotrexate']}]",True,study terminated due to unacceptable frequency of drug related adverse events,True,v404
NCT01677182,Safety and Efficacy Study of Ramelteon (TAK-375) Tablets for Sublingual Administration (SL) in Adults With Bipolar 1 Disorder,"The drug being tested in this study is called Ramelteon. Ramelteon is being tested to treat people who have Bipolar 1 Disorder. This study will look at the symptoms of depression in people who take Ramelteon as a sub-lingual formulation.

This study plans to enroll a minimum of 276 participants and a maximum of up to approximately 870 participants Participants will be randomly assigned (by chance, like flipping a coin) to one of the three treatment groups-which will remain undisclosed to the patient and study doctor during the study (unless there is an urgent medical need):

* Ramelteon (Dose 1)
* Ramelteon (Dose 2)
* Placebo (dummy inactive pill) - this is a tablet that looks like the study drug but has no active ingredient All participants will be asked to take one tablet every night at bedtime throughout the study.

This study plans to conduct one unblinded interim analysis after the first 276 subjects have been enrolled and treated for the 6-week double-blind treatment period. Based on the interim analysis, the study plans to adapt limited aspects of the design including: 1) to make no changes to the study; 2) to reassess sample size based on the interim analysis results.

This multi-centre trial will be conducted in North America and Europe. The overall time to participate in this study is up to 14 weeks. Participants will make 8 visits to the clinic, and will be contacted by telephone 30 days after last dose of study drug for a follow-up assessment.

An independent Data Monitoring Committee (DMC) recently performed a planned interim analysis of efficacy and safety data from this study. Upon completion of their review, the DMC advised that the unblinded interim data met the predefined efficacy criteria for study termination. No safety concerns were identified.",[],TERMINATED,"Business Decision; Terminated due to futility, with no safety concerns (see below)","[{'type': 'DRUG', 'name': 'Ramelteon', 'description': 'Ramelteon tablets for sublingual administration', 'armGroupLabels': ['Ramelteon (Dose 2)', 'Ramelteon SL (Dose 1)'], 'otherNames': ['TAK-375SL', 'Rozerem']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Ramelteon placebo-matching tablets for sublingual administration', 'armGroupLabels': ['Placebo']}]",['Bipolar Disorder'],Takeda,"[{'type': 'drug', 'name': 'ramelteon', 'description': 'ramelteon tablets for sublingual administration', 'armgrouplabels': ['ramelteon (dose 2)', 'ramelteon sl (dose 1)'], 'othernames': ['tak-375sl', 'rozerem']}, {'type': 'drug', 'name': 'placebo', 'description': 'ramelteon placebo-matching tablets for sublingual administration', 'armgrouplabels': ['placebo']}]",True,"business decision; terminated due to futility, with no safety concerns (see below)",True,ramelteon
